CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;UTM;GEOGRAFICAS
93209;Fullcarga;BOTILLERIA GERALDINE CERR;CALLE RENE OLIVA 1144;CERRO NAVIA;;338941:6299200;-33.43467274:-70.73329193
93210;Fullcarga;EL NACHO CERRO NAVIA;PSJE JUAN BAUTISTA. INOSTROZA 7840;CERRO NAVIA;;337660:6300669;-33.42124126:-70.74680618
93211;Fullcarga;DONDE LA ABUELA CERRO NAV;PSJE KASAMA 1672;CERRO NAVIA;;338161:6301286;-33.41546205426357:-70.74054895348836
93213;Fullcarga;FRUTOS AVEJAS LTDA;SAN LUIS DE MACUL 5315-B;PEÑALOLEN;;353392:6291440;-33.50642888888889:-70.57840222222222
93228;Fullcarga;AUDINA DIAZ CERRO NAVIA;PSJE SORTILEGIO 1771;CERRO NAVIA;;336865:6301356;-33.414635277777776:-70.7544615079365
93229;Fullcarga;COM MAGALY CERRO NAVIA;CALLE LA CAPILLA 7328;CERRO NAVIA;;338332:6301357;-33.41513585:-70.73944918
93243;Fullcarga;LAPICITO;PSJE ECONOMIA 8402;CERRO NAVIA;;336227:6301090;-33.41734716:-70.76203631
93245;Fullcarga;KIOSKO;APOQUINDO (FRENTE A ENTEL) 3072;LAS CONDES;;351441:6301351;-33.416912598374466:-70.59777188824192
93247;Fullcarga;JOSE LUIS;FRANCISCO BILBAO  2946 LOCAL A;PROVIDENCIA;;352320:6299371;-33.43488920057505:-70.58864248154877
93249;Fullcarga;EL NARANJO;RIVADAVIA  9175;LAS CONDES;;357397:6300901;-33.42166284722223:-70.53379805555555
93253;Fullcarga;EL CISNE;CLAUDIO ARRAU 781;EL BOSQUE;;344542:6284694;-33.56611016187268:-70.67483386739863
93258;Fullcarga;HUGO GUZMAN;EL ABETO  8771;PUDAHUEL;;336357:6296789;-33.45573507441057:-70.76075797523254
93260;Fullcarga;COM DEUTSCHI;MANUEL RODRIGUEZ  1708;RENCA;;339817:6303406;-33.3968660503254:-70.7230351467676
93265;Fullcarga;BAZAR NOR YEN CERRO NAVIA;CALLE RIO DOURO 8159;CERRO NAVIA;;336897:6300896;-33.41905976:-70.75475425
93267;Fullcarga;VIKINGO CERRO NAVIA;CALLE CAUQUENES 6908;CERRO NAVIA;;339170:6300295;-33.4249487204388:-70.7304226469048
93268;Fullcarga;MINIMARKET AHORA SI ;FLORENCIA  1540;CERRO NAVIA;;338898:6300280;-33.42464803030303:-70.73279666666669
93270;Fullcarga;EL GUATON VERA;MAPOCHO SUR  7824;CERRO NAVIA;;337652:6300551;-33.4224044950672:-70.7466940253886
93271;Fullcarga;ROSALIA ELIANETH ARANZAEZ;VICUNA ROSAS 6205;CERRO NAVIA;;339862:6299309;-33.43353933333334:-70.72260622222221
93272;Fullcarga;MINIMARKET;PADRE HURTADO 7283;CERRO NAVIA;;338584:6299141;-33.43486972222221:-70.7363802777778
93294;Fullcarga;ERNA TROPAN;PASAJE LANALHUE  1348;PUDAHUEL;;336091:6299650;-33.42989791666666:-70.76309458333333
93300;Fullcarga;ERBI - SANTA ROSA;SANTA ROSA 905;SANTIAGO;;347051:6298005;-33.44634833333333:-70.64552388888889
93313;Fullcarga;EL CRISTO;CALETA AGUA DULCE  1226;PUENTE ALTO;;355020:6281404;-33.59725446056499:-70.5625191115732
93314;Fullcarga;LULY;VIÑA DEL MAR  6403 DEPTO 13 A;LA FLORIDA;;352582:6290538;-33.51445160671461:-70.5872657793765
93317;Fullcarga;ALMACEN LA ESQUINA ;BAHIA FITZ ROY  1640;PUENTE ALTO;;351358:6284016;-33.573083068181816:-70.6015300378788
93318;Fullcarga;LAS TRES HERMANAS;LUIS MATTE LARRAIN  827;PUENTE ALTO;;352507:6282536;-33.5865825:-70.58939683333334
93337;Fullcarga;MI AMIGA FELIZ MARLENE;BERNARD SHAW  1200;MAIPU;;339767:6294553;-33.4764117839999:-70.724481413
93343;Fullcarga;LA VEGUITA;SEGUNDA TRANSVERSAL  3437;MAIPU;;337993:6292285;-33.496585:-70.7439711111111
93346;Fullcarga;CIBERGAMERS;SALADILLO 02486;PUENTE ALTO;;355705:6283257;-33.5805196511437:-70.5548307563699
93351;Fullcarga;NACIMIENTO;VICARIA 2501;MAIPU;;333688:6290978;-33.50771261904762:-70.79053815476189
93361;Fullcarga;LA CAMPANA QTA NORMAL;CALLE LA RIOJA  2085;QUINTA NORMAL;;340922:6300756;-33.42094269:-70.71171936
93371;Fullcarga;EDITH MOYA;PEDRO DE VALDIVIA  5108;ÑUÑOA;;350730:6295417;-33.470201666666654:-70.606392
93376;Fullcarga;ROSA  ;AV SALVADOR GUTIERREZ  7337;CERRO NAVIA;;338278:6300993;-33.41823887788461:-70.7393489024297
93401;Fullcarga;RENE PTE ALTO;AVDA RAMON VENEGAS 3120;PUENTE ALTO;;355648:6283274;-33.58065178:-70.556202
93402;Fullcarga;SAN ALBERTO PTE ALTO;PSJE EL RACIMO 566;PUENTE ALTO;;351944:6280039;-33.60902033333334:-70.59587299999998
93405;Fullcarga;MARSAN PTE ALTO;PSJE LAS LLUVIAS  1913;PUENTE ALTO;;354503:6281690;-33.594486666666675:-70.56803291666665
93410;Fullcarga;ALMENDRA;CALLE SAN ALBERTO   1723;PUENTE ALTO;;355733:6281627;-33.5956817:-70.55548055
93411;Fullcarga;PUNTO BIP JUNNY PTE ALTO;CALLE LA SERRANIA  02235;PUENTE ALTO;;355374:6283241;-33.58062512820513:-70.5583985897436
93414;Fullcarga;MARSAN PTE ALTO;SAN CARLOS  0314;PUENTE ALTO;;354088:6281407;-33.59738003:-70.57312698
93416;Fullcarga;VERONICA ROJAS PTE ALTO;CALLE DEL VIRREY 4585;PUENTE ALTO;;356158:6285827;-33.55777658:-70.55065583
93420;Fullcarga;DINELY;LAS ACHIRAS  1210;PUENTE ALTO;;352695:6277900;-33.62840864197531:-70.58813290123454
93421;Fullcarga;EL CHAYAVIENTOS PTE ALTO;CALLE CHAYAVIENTOS 3033;PUENTE ALTO;;354248:6283076;-33.58224125:-70.57131338
93435;Fullcarga;TRINIDAD PTE ALTO;PARQUE INSTITUCIONAL 0997;PUENTE ALTO;;354107:6284199;-33.57181430208335:-70.57188473958334
93436;Fullcarga;CARNICERIA RP PTE ALTO;LUIS MATTE LARRAIN  02407;PUENTE ALTO;;355697:6282833;-33.58434705555556:-70.55498133333332
93437;Fullcarga;CACHUREO PTE ALTO;LAGUNA DEL INCA 4381;PUENTE ALTO;;354585:6285117;-33.56360486111112:-70.56659569444444
93440;Fullcarga;GLADYS HERNANDEZ FLORES P;EL PATIO 0585;PUENTE ALTO;;353745:6283722;-33.576063253003:-70.57586492098348
93442;Fullcarga;ALMACEN DON TONO PTE ALTO;NONATO COO  4214;PUENTE ALTO;;353962:6284859;-33.56612817:-70.57410804
93443;Fullcarga;SANTA ELVIRA PTE ALTO;CALLE 1 3587;PUENTE ALTO;;349830:6278859;-33.6196539:-70.61946124
93444;Fullcarga;EL ALBA PTE ALTO;LAGO TODOS LOS SANTOS 05717;PUENTE ALTO;;355341:6286570;-33.550605138888905:-70.55821263888889
93445;Fullcarga;BAZAR VIKINGO PTE ALTO;GABRIELA ORIENTE 01099;PUENTE ALTO;;354318:6283654;-33.57675365586931:-70.56970397369878
93446;Fullcarga;T & K;CHIAPA 2711;PUENTE ALTO;;351605:6282409;-33.58799392:-70.59975399
93447;Fullcarga;NOCEDAL PTE ALTO;NOCEDAL 725;PUENTE ALTO;;352176:6278442;-33.62373813:-70.59440432
93449;Fullcarga;LA VECI;LAS PRIMULAS 1884;LA FLORIDA;;353001:6290404;-33.515716250000004:-70.58278145833334
93450;Fullcarga;BAZAR;PASEO LOS LIMONES 3749;LA FLORIDA;;352163:6294326;-33.48064182320865:-70.59172644542143
93451;Fullcarga;JUAN E. GONZALEZ MONSALVE;AV. COLOMBIA  9027;LA FLORIDA;;352861:6288091;-33.5365479037436:-70.5846643838037
93452;Fullcarga;MINIMARKET KAREN LA FLORI;CALLE ELISA CORREA SANFUENTES  675;LA FLORIDA;;352310:6284442;-33.56978123:-70.59178151
93454;Fullcarga;ENRIQUE SANHUEZA OSSES (C);WALKER MARTINEZ C/LA FLORIDA SUR OESTE  S/N;LA FLORIDA;;353467:6289314;-33.522618:-70.579019
93455;Fullcarga;KIOSCO JULIA (C);ROJAS MAGALLANES ESQ AVDA LA FLORIDA S/N;LA FLORIDA;;353999:6288267;-33.535349:-70.573159
93458;Fullcarga;SANTA TERESITA LA FLORIDA;CALLE COSTA. RICA  8420;LA FLORIDA;;353222:6288813;-33.53009:-70.580665
93459;Fullcarga;CHO CHOL LA FLORIDA;CALLE STA. MARIA DE LA ESTRELLA 10390;LA FLORIDA;;350698:6286348;-33.5519605321763:-70.60824292611574
93460;Fullcarga;ALFONSO RIVERA LA FLORIDA;CALLE MARIA ELENA  714;LA FLORIDA;;351999:6285322;-33.5617980555556:-70.5949841666666
93468;Fullcarga;YENNEVA;ARGELIA 0220;QUILICURA;;338032:6307811;-33.35707248:-70.74139511
93471;Fullcarga;COMERCIAL JAIME;CUATRO ORIENTE 25-B;QUILICURA;;340336:6306652;-33.3677272244034:-70.7169041723112
93472;Fullcarga;ANGELICA GALVEZ LA FLORID;AVDA TRINIDAD 1593;LA FLORIDA;;350820:6286942;-33.54662704830826:-70.60682913157892
93473;Fullcarga;BELEN LA FLORIDA;AVDA STA. RAQUEL  4416;LA FLORIDA;;351641:6284952;-33.56468020454632:-70.5983202490973
93474;Fullcarga;DAYANA LA FLORIDA;CALLE SAN JOSE DE LA ESTRELLA  675;LA FLORIDA;;353429:6286312;-33.5530648003372:-70.579415766207
93477;Fullcarga;ELENA SOTO BENAVIDES LA F;CALLE ROJAS MAGALLANES  908-B;LA FLORIDA;;353226:6288173;-33.535980:-70.580742
93478;Fullcarga;ERBI - LA FLORIDA;CALLE RAYEN 1637;LA FLORIDA;;353478:6289130;-33.5276372:-70.5785632
93480;Fullcarga;ALISON;PSJE RENATO ZANELLI 10781;LA FLORIDA;;354357:6286117;-33.5548618:-70.5695765
93481;Fullcarga;EL VECINO;AVDA DEPARTAMENTAL 2145;LA FLORIDA;;353185:6290950;-33.51081444444445:-70.5807107070707
93482;Fullcarga;WALDO CHRISTIAN RUBIO LA;LA FLORIDA  10149;LA FLORIDA;;354612:6286685;-33.54975932:-70.56680329
93483;Fullcarga;KIOSKO GRISMAN;ROJAS MAGALLANES FRENTE AL 1280;LA FLORIDA;;353887:6288246;-33.53557692:-70.57416103
93484;Fullcarga;ALEJANDRO OLIVARES J LA F;CALLE JOSE MIGUEL CARRERA 1523;LA FLORIDA;;350753:6286541;-33.5505838:-70.6082311
93485;Fullcarga;JUAN AVILES LA FLORIDA;CALLE BAHIA CATALINA 11205;LA FLORIDA;;350535:6285021;-33.56391:-70.61022
93491;Fullcarga;SANTA HELITA LA FLORIDA;LOS ARALIOS 2012;LA FLORIDA;;353388:6290220;-33.5178366:-70.5792151
93492;Fullcarga;ALMACEN GEMITA;NAVIDAD 2436;PEDRO AGUIRRE CERDA;;344133:6291361;-33.505832333333366:-70.67806633333335
93496;Fullcarga;SANTA TERESITA;BRAVO LUCO 1455;PUDAHUEL;;335678:6299449;-33.43175753910851:-70.76758018462013
93513;Fullcarga;LA ESQUINA MAIPU;AVDA ING. EDUARDO DOMINGUEZ  1000;MAIPU;;334594:6292946;-33.490112092198565:-70.78042765957449
93514;Fullcarga;ALMACEN GUILLERMINA MAIPU;PSJE CHUNGARA  2326;MAIPU;;333855:6290687;-33.5107584:-70.78937681
93518;Fullcarga;LA PANCHITA MAIPU;PSJE LAS PIRCAS  1703;MAIPU;;334624:6290153;-33.51529666666667:-70.78061761904762
93522;Fullcarga;MARY;ESTERO COTRAUCO 0130;QUILICURA;;338141:6307108;-33.36296932738095:-70.73971655952381
93542;Fullcarga;SERVICIO TOTAL MAIPU;CALLE CHACABUCO   57;MAIPU;;336762:6290929;-33.50890995:-70.75823032
93546;Fullcarga;FARM PRINCIPAL MAIPU;CALLE CHACABUCO  50 LOCAL 2;MAIPU;;336690:6290872;-33.5091267292235:-70.75825567312238
93547;Fullcarga;EL CIELO MAIPU;CALLE EL CIELO   1271;MAIPU;;339757:6294390;-33.47816319:-70.72537427
93548;Fullcarga;GENESIS MAIPU;LA GALAXIA 01530;MAIPU;;333401:6288752;-33.52813158237326:-70.79461726358228
93549;Fullcarga;LAS VENTANAS MAIPU;PSJE 1  912;MAIPU;;337621:6290127;-33.51609891676154:-70.7483794587869
93551;Fullcarga;MARY MAIPU;CALLE LOS CAPUCHINOS  0378;MAIPU;;338988:6295010;-33.47228727931895:-70.73278780059202
93557;Fullcarga;ALMACEN NICOLE;PSJE CARLOS RIESCO 1254;MAIPU;;336944:6295440;-33.4683718241639:-70.7554571136144
93558;Fullcarga;JUEGOS BIP MAIPU;"CALLE AVES DEL PARAISO 600 ""A""";MAIPU;;337589:6295054;-33.47185115:-70.74858419
93563;Fullcarga;LA EMERGENCIA MAIPU;CENTRAL GONZALO PEREZ LLONA  987 local 12;MAIPU;;337867:6291789;-33.501035761646605:-70.74541462730643
93564;Fullcarga;DELFA MAIPU;ACADEMIA DE GUERRA 3285;MAIPU;;333114:6290954;-33.50812291:-70.79747825
93566;Fullcarga;ACIERTO EIRL;5 DE ABRIL 33 LOCAL 7;MAIPU;;336770:6290781;-33.51036202:-70.7579815
93567;Fullcarga;FARM PRINCIPAL MAIPU;5 DE ABRIL 176 LOCAL 10;MAIPU;;336634:6290730;-33.51079445:-70.75963399
93571;Fullcarga;LA VEGUITA MAIPU;SAN JOSE 2757;MAIPU;;333376:6289930;-33.5173872646549:-70.7946553897474
93572;Fullcarga;LOS PORTALES MAIPU;AVENIDA CUATRO PONIENTE 1184;MAIPU;;333680:6289616;-33.5203872967394:-70.79145329353359
93573;Fullcarga;MI AMIGA;SIMON BOLIVAR  3701;MAIPU;;341478:6276294;-33.4792940549497:-70.7310018199462
93575;Fullcarga;EL MONTINO MAIPU;CALLE JOSE MANUEL IRARRAZAVAL  995;MAIPU;;337676:6290410;-33.51343912046298:-70.74772708324075
93576;Fullcarga;MINIMARKET MELITA MAIPU;AVENIDA SUR 167;MAIPU;;336601:6289570;-33.5208483333333:-70.7594433333333
93577;Fullcarga;BOTILLERIA ROYAL MAIPU;CALLE MONTE PALOMAR  142;MAIPU;;335394:6288894;-33.52704742:-70.77332103
93581;Fullcarga;SANTA ENRIQUETA MAIPU;PASAJE OSMIO  1812;MAIPU;;334265:6289760;-33.51878106060605:-70.78455469696969
93583;Fullcarga;PANADERIA SUPER PAN;CALLE LUMEN  2927;MAIPU;;338566:6291484;-33.50452471:-70.73864587
93585;Fullcarga;MINIMARKET EL TATA MAIPU;INGENIERO ROBERTO LLONA 5482;MAIPU;;337271:6295414;-33.468267536231885:-70.7511729710145
93586;Fullcarga;JAMES PAUL FLORES ALCANTARA;RECOLETA 2193;RECOLETA;;347280:6302397;-33.4070705424299:-70.6430758120044
93588;Fullcarga;GENESIS MAIPU;CALLE CABO DE HORNOS  0671;MAIPU;;334042:6287931;-33.53523041666666:-70.78729666666666
93601;Fullcarga;MARIELA MORALES MALDONADO;CALLE LOS GENERALES  449 A;MAIPU;;335658:6289359;-33.523014:-70.770218
93609;Fullcarga;ALMACEN EL VECINO;AVDA PARQUE SUR  18415;MAIPU;;335191:6284792;-33.5649065519185:-70.7767506539588
93613;Fullcarga;AINHOITA;AVDA STA. ELENA  320 LOCAL1;MAIPU;;337771:6293957;-33.4791823206263:-70.7465241704951
93635;Fullcarga;ELIZABETH MAIPU;AVDA PDTE. GABRIEL GONZALEZ VIDELA  2216;MAIPU;;334254:6287942;-33.53516495622809:-70.78501372815788
93641;Fullcarga;SANTA TERESA MAIPU;CALLE TINGUIRIRICA  3607;MAIPU;;338264:6292505;-33.49493175:-70.74177861
93646;Fullcarga;CIRCULO AHORRO;CALLE EGIPTO  397 A;MAIPU;;335284:6287022;-33.5440661688164:-70.7746379983922
93649;Fullcarga;ANTONELLA MAIPU;AV EL CONQUISTADOR  1710;MAIPU;;333192:6289957;-33.5155467605488:-70.7971325714537
93650;Fullcarga;EL FILODENDRO MAIPU;EL FILODENDRO 18810 LOCAL 14;MAIPU;;334549:6284513;-33.56641228:-70.78322941
93656;Fullcarga;SILVANA SAAVEDRA GARCIA M;CALLE GLORIAS NAVALES  1979;MAIPU;;334949:6287584;-33.53849965517241:-70.7775983908046
93658;Fullcarga;CARYPED;CALLE RENE OLIVARES BECERRA   2680;MAIPU;;334225:6287307;-33.54117452:-70.78620725
93664;Fullcarga;JULY N 1 MAIPU;CALLE UNIV. CATOLICA   1046;MAIPU;;334349:6289717;-33.51946834:-70.78442172
93666;Fullcarga;NICO MAIPU;PSJE NVA. SAN MARTIN  2930;MAIPU;;333165:6289046;-33.525047196969695:-70.79652515151514
93672;Fullcarga;PATODOS;5 DE ABRIL (INTERIOR UNIV. LAS AMERICAS) 0620;MAIPU;;337460:6290782;-33.510172:-70.749986
93673;Fullcarga;MIS POLLITOS;AV NUEVA SAN MARTIN  1701;MAIPU;;334490:6289098;-33.52478124303969:-70.78226211367065
93678;Fullcarga;ALMACEN CHOLI MAIPU;CANDELARIA  2425;MAIPU;;333758:6290675;-33.510860:-70.790428
93685;Fullcarga;CLAUDIO MARCELO;LAGO BOLSENA 18601;MAIPU;;333631:6285212;-33.558049:-70.790555
93690;Fullcarga;MATY;SAN ALBERTO 722;PUENTE ALTO;;354407:6281678;-33.5946929:-70.56908340000001
93701;Fullcarga;MINIMARKET;COQUIMBO  1071;SANTIAGO;;346728:6296852;-33.4567028353512:-70.649194821625
93703;Fullcarga;JUANA CORTES;TEATINOS FRENTE AL 493;SANTIAGO;;346095:6298909;-33.43806261904762:-70.65565904761904
93705;Fullcarga;LIBRERIA PINOCHO SANTIAGO;CALLE SALVADOR SANFUENTES  2725;SANTIAGO;;344465:6297441;-33.45135426:-70.67419649
93707;Fullcarga;PANAMTUR SANTIAGO;PASEO HUERFANOS  987;SANTIAGO;;346625:6298793;-33.43947455:-70.65073311
93708;Fullcarga;LIBRERIA PINOCHO SANTIAGO;ENRIQUE MEIGGS 27;SANTIAGO;;344163:6297465;-33.45108665:-70.67744292
